,Title,PublishedAt,Views,Likes,Comments,Month
169,Reviewing Your Data Science Projects - Episode 7 (Incredible Portfolio Website),2020-06-08T13:00:21Z,11416,354,70,Jun
170,The State of Data Science with Krish Naik & The Data Professor [Panel Discussion],2020-06-05T13:00:26Z,23419,678,146,Jun
171,Reviewing Your Data Science Projects - Episode 6 (Only 3 months of coding experience),2020-06-01T13:00:32Z,5693,156,53,Jun
172,How to Build a Data Science Portfolio Website with Hugo & Github Pages [feat. Data Professor],2020-05-29T13:00:21Z,69314,2145,266,May
173,Reviewing Your Data Science Projects - Episode 5 (Very Detailed Project),2020-05-25T13:00:13Z,20952,489,81,May
174,Different Data Science Roles Explained (by a Data Scientist),2020-05-22T13:01:09Z,53803,1924,177,May
175,Reviewing Your Data Science Projects - Episode 4 (Resume & Github),2020-05-18T13:00:22Z,11230,178,55,May
176,How to Make A Data Science Portfolio Website with Github Pages,2020-05-15T13:30:00Z,123656,4260,192,May
177,10000 Subscriber and 100th Video Special (Data Science),2020-05-13T13:00:17Z,3098,146,115,May
178,Reviewing Your Data Science Projects - Episode 3 (Student Portfolio),2020-05-11T13:00:33Z,4492,153,74,May
179,How I Would Learn Data Science (If I Had to Start Over),2020-05-08T13:00:03Z,1390515,49017,1998,May
180,Reviewing Your Data Science Projects - Episode 2 (Resume and Portfolio),2020-05-04T13:00:12Z,5492,196,42,May
181,What You Need to Know for a Data Science Internship,2020-05-01T13:00:10Z,21225,1168,59,May
182,Reviewing Your Data Science Projects - Episode 1 (Exploratory Analysis),2020-04-27T13:00:10Z,8320,349,54,Apr
183,What It's Like to be a Socially Distanced Data Scientist (A Day in the Life),2020-04-24T13:00:32Z,14969,460,103,Apr
184,Data Science in Sports - Talk for Northwestern (Kellogg) MBA Students,2020-04-22T13:00:30Z,3096,85,24,Apr
185,5 Tips for Crushing the Work From Home Life,2020-04-20T13:00:04Z,5393,202,38,Apr
186,Data Science Project from Scratch - Part 7 (Documenting Your Work),2020-04-17T13:00:04Z,20036,716,126,Apr
187,Data Science Project from Scratch -  Part 6 (Putting the Model into Production),2020-04-15T13:00:32Z,27732,705,98,Apr
188,Data Science Project from Scratch  - Part 5 (Model Building),2020-04-13T13:00:03Z,41773,870,151,Apr
189,Data Science Project from Scratch - Part 4 (Exploratory Data Analysis),2020-04-10T13:00:15Z,69131,1842,209,Apr
190,Data Science Project from Scratch - Part 3 (Data Cleaning),2020-04-08T13:00:19Z,76264,1706,276,Apr
191,Data Science Project from Scratch - Part 2 (Data Collection),2020-04-06T13:00:07Z,119058,3330,614,Apr
192,Data Science Project from Scratch - Part 1 (Project Planning),2020-04-03T13:00:12Z,181543,4733,170,Apr
193,When Data Science Goes Wrong,2020-03-30T13:00:06Z,1800,105,32,Mar
194,How to ULTRALEARN Data Science,2020-03-27T13:00:02Z,61545,3822,169,Mar
